[DEBUG | 2017-12-07 23:26:11,588] selfNginxName = 127.0.0.1 9000
[DEBUG | 2017-12-07 23:26:11,589] DtbtNginx = 127.0.0.1 9001
[DEBUG | 2017-12-07 23:26:11,590] DtbtNginx = 127.0.0.1 9002
[DEBUG | 2017-12-07 23:26:11,591] listenName = 127.0.0.1 11111
[DEBUG | 2017-12-07 23:26:13,601] vote for self 
[DEBUG | 2017-12-07 23:26:14,145] DtbtNginx = 127.0.0.1 9000
[DEBUG | 2017-12-07 23:26:14,145] selfNginxName = 127.0.0.1 9001
[DEBUG | 2017-12-07 23:26:14,146] DtbtNginx = 127.0.0.1 9002
[DEBUG | 2017-12-07 23:26:14,148] listenName = 127.0.0.1 11112
[DEBUG | 2017-12-07 23:26:14,152] connect -> 127.0.0.1 9000
[DEBUG | 2017-12-07 23:26:14,152] accept :127.0.0.1 48418
[DEBUG | 2017-12-07 23:26:16,160] vote for self 
[DEBUG | 2017-12-07 23:26:16,165] recv a vote for me
[DEBUG | 2017-12-07 23:26:16,161] vote for 127.0.0.1 9001
[DEBUG | 2017-12-07 23:26:16,167] ACK to Follower
[DEBUG | 2017-12-07 23:26:16,168] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:26:22,498] DtbtNginx = 127.0.0.1 9000
[DEBUG | 2017-12-07 23:26:22,498] DtbtNginx = 127.0.0.1 9001
[DEBUG | 2017-12-07 23:26:22,499] selfNginxName = 127.0.0.1 9002
[DEBUG | 2017-12-07 23:26:22,500] listenName = 127.0.0.1 11113
[DEBUG | 2017-12-07 23:26:22,503] connect -> 127.0.0.1 9000
[DEBUG | 2017-12-07 23:26:22,503] accept :127.0.0.1 48422
[DEBUG | 2017-12-07 23:26:22,505] connect -> 127.0.0.1 9001
[DEBUG | 2017-12-07 23:26:22,505] accept :127.0.0.1 45692
[DEBUG | 2017-12-07 23:26:24,680] vote for self 
[DEBUG | 2017-12-07 23:26:24,767] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:26:24,770] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:26:26,778] vote for self 
[DEBUG | 2017-12-07 23:26:26,778] vote for 127.0.0.1 9002
[DEBUG | 2017-12-07 23:26:26,781] recv a vote for me
[DEBUG | 2017-12-07 23:26:26,792] ACK to Follower
[DEBUG | 2017-12-07 23:26:26,796] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:26:26,797] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:26:26,798] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:26:27,044] vote for self 
[DEBUG | 2017-12-07 23:26:27,045] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:26:27,048] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:35:01,315] selfNginxName = 127.0.0.1 9000
[DEBUG | 2017-12-07 23:35:01,316] DtbtNginx = 127.0.0.1 9001
[DEBUG | 2017-12-07 23:35:01,317] DtbtNginx = 127.0.0.1 9002
[DEBUG | 2017-12-07 23:35:01,318] listenName = 127.0.0.1 11111
[DEBUG | 2017-12-07 23:35:03,328] vote for self 
[DEBUG | 2017-12-07 23:35:03,878] DtbtNginx = 127.0.0.1 9000
[DEBUG | 2017-12-07 23:35:03,879] selfNginxName = 127.0.0.1 9001
[DEBUG | 2017-12-07 23:35:03,880] DtbtNginx = 127.0.0.1 9002
[DEBUG | 2017-12-07 23:35:03,881] listenName = 127.0.0.1 11112
[DEBUG | 2017-12-07 23:35:03,884] connect -> 127.0.0.1 9000
[DEBUG | 2017-12-07 23:35:03,884] accept :127.0.0.1 48430
[DEBUG | 2017-12-07 23:35:05,890] vote for self 
[DEBUG | 2017-12-07 23:35:05,890] vote for 127.0.0.1 9001
[DEBUG | 2017-12-07 23:35:05,893] recv a vote for me
[DEBUG | 2017-12-07 23:35:05,897] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:35:05,899] ACK to Follower
[DEBUG | 2017-12-07 23:35:27,055] DtbtNginx = 127.0.0.1 9000
[DEBUG | 2017-12-07 23:35:27,056] DtbtNginx = 127.0.0.1 9001
[DEBUG | 2017-12-07 23:35:27,057] selfNginxName = 127.0.0.1 9002
[DEBUG | 2017-12-07 23:35:27,058] listenName = 127.0.0.1 11113
[DEBUG | 2017-12-07 23:35:27,062] connect -> 127.0.0.1 9000
[DEBUG | 2017-12-07 23:35:27,062] accept :127.0.0.1 48434
[DEBUG | 2017-12-07 23:35:27,064] accept :127.0.0.1 45704
[DEBUG | 2017-12-07 23:35:27,067] connect -> 127.0.0.1 9001
[DEBUG | 2017-12-07 23:35:29,191] vote for self 
[DEBUG | 2017-12-07 23:35:29,203] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:35:29,233] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:35:31,242] vote for self 
[DEBUG | 2017-12-07 23:35:31,245] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:35:31,252] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:35:33,258] vote for self 
[DEBUG | 2017-12-07 23:35:33,259] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:35:33,265] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:35:35,277] vote for self 
[DEBUG | 2017-12-07 23:35:35,279] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:35:35,283] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:35:37,290] vote for self 
[DEBUG | 2017-12-07 23:35:37,294] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:35:37,319] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:37:36,550] DtbtNginx = 127.0.0.1 9000
[DEBUG | 2017-12-07 23:37:36,551] DtbtNginx = 127.0.0.1 9001
[DEBUG | 2017-12-07 23:37:36,552] selfNginxName = 127.0.0.1 9002
[DEBUG | 2017-12-07 23:37:36,552] listenName = 127.0.0.1 11113
[DEBUG | 2017-12-07 23:37:36,555] connect -> 127.0.0.1 9000
[DEBUG | 2017-12-07 23:37:36,556] accept :127.0.0.1 48438
[DEBUG | 2017-12-07 23:37:36,556] connect -> 127.0.0.1 9001
[DEBUG | 2017-12-07 23:37:36,557] accept :127.0.0.1 45708
[DEBUG | 2017-12-07 23:37:38,570] vote for self 
[DEBUG | 2017-12-07 23:37:38,572] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:37:38,580] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:37:40,591] vote for self 
[DEBUG | 2017-12-07 23:37:40,593] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:37:40,602] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:37:42,613] vote for self 
[DEBUG | 2017-12-07 23:37:42,614] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:37:42,622] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:37:44,634] vote for self 
[DEBUG | 2017-12-07 23:37:44,636] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:37:44,651] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:37:46,663] vote for self 
[DEBUG | 2017-12-07 23:37:46,664] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:37:46,676] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:37:48,688] vote for self 
[DEBUG | 2017-12-07 23:37:48,691] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:37:48,702] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:37:50,711] vote for self 
[DEBUG | 2017-12-07 23:37:50,712] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:37:50,717] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:37:52,729] vote for self 
[DEBUG | 2017-12-07 23:37:52,730] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:37:52,735] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:37:54,742] vote for self 
[DEBUG | 2017-12-07 23:37:54,743] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:37:54,752] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:37:56,760] vote for self 
[DEBUG | 2017-12-07 23:37:56,763] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:37:56,783] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:37:58,793] vote for self 
[DEBUG | 2017-12-07 23:37:58,797] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:37:58,805] AckVote2FollowerRcve
[DEBUG | 2017-12-07 23:41:49,229] selfNginxName = 127.0.0.1 9000
[DEBUG | 2017-12-07 23:41:49,230] DtbtNginx = 127.0.0.1 9001
[DEBUG | 2017-12-07 23:41:49,231] DtbtNginx = 127.0.0.1 9002
[DEBUG | 2017-12-07 23:41:49,232] listenName = 127.0.0.1 11111
[DEBUG | 2017-12-07 23:41:51,242] vote for self 
[DEBUG | 2017-12-07 23:41:52,409] DtbtNginx = 127.0.0.1 9000
[DEBUG | 2017-12-07 23:41:52,409] selfNginxName = 127.0.0.1 9001
[DEBUG | 2017-12-07 23:41:52,410] DtbtNginx = 127.0.0.1 9002
[DEBUG | 2017-12-07 23:41:52,412] listenName = 127.0.0.1 11112
[DEBUG | 2017-12-07 23:41:52,416] connect -> 127.0.0.1 9000
[DEBUG | 2017-12-07 23:41:52,416] accept :127.0.0.1 48446
[DEBUG | 2017-12-07 23:41:54,425] vote for self 
[DEBUG | 2017-12-07 23:41:54,425] vote for 127.0.0.1 9001
[DEBUG | 2017-12-07 23:41:54,428] recv a vote for me
[DEBUG | 2017-12-07 23:41:54,429] ACK to Follower
[DEBUG | 2017-12-07 23:41:54,437] recv a vote for me
[DEBUG | 2017-12-07 23:41:54,451] recv a vote for me
