[DEBUG | 2017-12-30 18:29:26,029] BackServer = 139.199.26.222 11001
[DEBUG | 2017-12-30 18:29:26,030] BackServer = 139.199.26.222 11002
[DEBUG | 2017-12-30 18:29:26,032] selfNginxName = localhost 9000
[DEBUG | 2017-12-30 18:29:26,033] DtbtNginx = localhost 9001
[DEBUG | 2017-12-30 18:29:26,034] DtbtNginx = localhost 9002
[DEBUG | 2017-12-30 18:29:26,035] lisCliName = localhost 11001
[DEBUG | 2017-12-30 18:29:26,435] vote for self 
[DEBUG | 2017-12-30 18:29:26,824] vote for self 
[DEBUG | 2017-12-30 18:29:27,209] vote for self 
[DEBUG | 2017-12-30 18:29:27,594] vote for self 
[DEBUG | 2017-12-30 18:29:27,932] vote for self 
[DEBUG | 2017-12-30 18:29:28,269] vote for self 
[DEBUG | 2017-12-30 18:29:28,621] vote for self 
[DEBUG | 2017-12-30 18:29:29,051] vote for self 
[DEBUG | 2017-12-30 18:29:29,135] BackServer = 139.199.26.222 11001
[DEBUG | 2017-12-30 18:29:29,136] BackServer = 139.199.26.222 11002
[DEBUG | 2017-12-30 18:29:29,136] DtbtNginx = localhost 9000
[DEBUG | 2017-12-30 18:29:29,137] selfNginxName = localhost 9001
[DEBUG | 2017-12-30 18:29:29,138] DtbtNginx = localhost 9002
[DEBUG | 2017-12-30 18:29:29,139] lisCliName = localhost 11002
[DEBUG | 2017-12-30 18:29:29,144] AcceptNginx:19
[DEBUG | 2017-12-30 18:29:29,144] connect -> localhost 9000
[DEBUG | 2017-12-30 18:29:29,602] vote for self 
[DEBUG | 2017-12-30 18:29:29,603] recv a vote for me
[DEBUG | 2017-12-30 18:29:29,602] vote for localhost 9000
[DEBUG | 2017-12-30 18:29:29,604] ACK to Follower
[DEBUG | 2017-12-30 18:29:29,605] AckVote2FollowerRcve
[DEBUG | 2017-12-30 18:29:37,145] localhost 9000 lastActive=1514629769 activeInterval=6
[DEBUG | 2017-12-30 18:29:37,184] localhost 9001 lastActive=1514629769 activeInterval=6
[DEBUG | 2017-12-30 18:29:37,557] vote for self 
[DEBUG | 2017-12-30 18:29:38,004] vote for self 
[DEBUG | 2017-12-30 18:29:38,410] vote for self 
[DEBUG | 2017-12-30 18:29:38,922] vote for self 
[DEBUG | 2017-12-30 18:29:39,421] vote for self 
[DEBUG | 2017-12-30 18:29:39,872] vote for self 
[DEBUG | 2017-12-30 18:29:40,262] vote for self 
[DEBUG | 2017-12-30 18:29:40,691] vote for self 
[DEBUG | 2017-12-30 18:29:41,089] vote for self 
[DEBUG | 2017-12-30 18:29:41,455] vote for self 
[DEBUG | 2017-12-30 18:29:41,850] vote for self 
[DEBUG | 2017-12-30 18:29:42,243] vote for self 
[DEBUG | 2017-12-30 18:29:42,665] vote for self 
[DEBUG | 2017-12-30 18:29:43,067] vote for self 
[DEBUG | 2017-12-30 18:29:43,494] vote for self 
[DEBUG | 2017-12-30 18:29:46,463] BackServer = 139.199.26.222 11001
[DEBUG | 2017-12-30 18:29:46,464] BackServer = 139.199.26.222 11002
[DEBUG | 2017-12-30 18:29:46,464] DtbtNginx = localhost 9000
[DEBUG | 2017-12-30 18:29:46,466] selfNginxName = localhost 9001
[DEBUG | 2017-12-30 18:29:46,467] DtbtNginx = localhost 9002
[DEBUG | 2017-12-30 18:29:46,474] lisCliName = localhost 11002
[DEBUG | 2017-12-30 18:29:46,484] AcceptNginx:19
[DEBUG | 2017-12-30 18:29:46,484] connect -> localhost 9000
[DEBUG | 2017-12-30 18:29:46,499] AckVote2FollowerRcve
[DEBUG | 2017-12-30 18:31:27,143] client request send to child 0
[DEBUG | 2017-12-30 18:31:27,624] connect a client:  fd=16
[DEBUG | 2017-12-30 18:31:27,684] 客服端请求来到 fd=16
[DEBUG | 2017-12-30 18:31:27,711] readIdx=156 startLen=156 contentLength=0
[DEBUG | 2017-12-30 18:31:27,712] ParseResponse success readSize=156 readIdx=0
[DEBUG | 2017-12-30 18:31:29,979] 客服端请求来到 fd=16
[DEBUG | 2017-12-30 18:34:10,410] connect a client:  fd=16
[DEBUG | 2017-12-30 18:34:10,410] client request send to child 0
[DEBUG | 2017-12-30 18:34:10,425] 客服端请求来到 fd=16
[DEBUG | 2017-12-30 18:34:10,426] readIdx=398 startLen=398 contentLength=0
[DEBUG | 2017-12-30 18:34:10,428] ParseResponse success readSize=398 readIdx=0
[DEBUG | 2017-12-30 18:34:12,631] 客服端请求来到 fd=16
[DEBUG | 2017-12-30 18:34:13,825] client request send to child 0
[DEBUG | 2017-12-30 18:34:13,825] connect a client:  fd=16
[DEBUG | 2017-12-30 18:34:13,827] 客服端请求来到 fd=16
[DEBUG | 2017-12-30 18:34:13,828] readIdx=372 startLen=372 contentLength=0
[DEBUG | 2017-12-30 18:34:13,829] ParseResponse success readSize=372 readIdx=0
[DEBUG | 2017-12-30 18:34:16,004] 客服端请求来到 fd=16
[DEBUG | 2017-12-30 18:36:35,752] connect a client:  fd=16
[DEBUG | 2017-12-30 18:36:35,758] 客服端请求来到 fd=16
[DEBUG | 2017-12-30 18:36:35,760] readIdx=424 startLen=424 contentLength=0
[DEBUG | 2017-12-30 18:36:35,752] client request send to child 0
[DEBUG | 2017-12-30 18:36:35,762] ParseResponse success readSize=424 readIdx=0
[DEBUG | 2017-12-30 18:36:37,952] 客服端请求来到 fd=16
[DEBUG | 2017-12-30 18:36:39,316] client request send to child 0
[DEBUG | 2017-12-30 18:36:39,318] connect a client:  fd=16
[DEBUG | 2017-12-30 18:36:39,340] 客服端请求来到 fd=16
[DEBUG | 2017-12-30 18:36:39,342] readIdx=372 startLen=372 contentLength=0
[DEBUG | 2017-12-30 18:36:39,351] ParseResponse success readSize=372 readIdx=0
[DEBUG | 2017-12-30 18:36:41,530] 客服端请求来到 fd=16
[DEBUG | 2017-12-30 18:51:49,008] localhost 9001 lastActive=1514631108 activeInterval=6
[DEBUG | 2017-12-30 18:51:51,030] localhost 9001 lastActive=0 activeInterval=6
[DEBUG | 2017-12-30 18:52:48,797] BackServer = 139.199.26.222 11001
[DEBUG | 2017-12-30 18:52:48,797] BackServer = 139.199.26.222 11002
[DEBUG | 2017-12-30 18:52:48,798] DtbtNginx = localhost 9000
[DEBUG | 2017-12-30 18:52:48,799] selfNginxName = localhost 9001
