[ERROR | 2017-12-07 23:41:54,428] VoteFunc parseRes is false
[ERROR | 2017-12-07 23:41:54,430] VoteFunc parseRes is false
[ERROR | 2017-12-07 23:41:54,437] VoteFunc parseRes is false
[ERROR | 2017-12-07 23:41:54,442] VoteFunc parseRes is false
[ERROR | 2017-12-07 23:41:54,445] VoteFunc parseRes is false
[ERROR | 2017-12-07 23:41:54,446] VoteFunc parseRes is false
[ERROR | 2017-12-07 23:41:54,445] VoteFunc parseRes is false
[ERROR | 2017-12-07 23:41:54,449] VoteFunc parseRes is false
[ERROR | 2017-12-07 23:41:54,452] VoteFunc parseRes is false
[ERROR | 2017-12-07 23:41:54,452] VoteFunc parseRes is false
[ERROR | 2017-12-07 23:41:54,455] VoteFunc parseRes is false
[ERROR | 2017-12-07 23:41:54,458] VoteFunc parseRes is false
[ERROR | 2017-12-07 23:41:54,460] VoteFunc parseRes is false
[ERROR | 2017-12-07 23:41:54,461] VoteFunc parseRes is false
[ERROR | 2017-12-07 23:41:54,464] VoteFunc parseRes is false
[ERROR | 2017-12-07 23:41:54,467] VoteFunc parseRes is false
[ERROR | 2017-12-07 23:41:54,469] VoteFunc parseRes is false
[ERROR | 2017-12-07 23:41:54,471] VoteFunc parseRes is false
[ERROR | 2017-12-07 23:41:54,476] VoteFunc parseRes is false
[ERROR | 2017-12-07 23:41:54,480] VoteFunc parseRes is false
[ERROR | 2017-12-07 23:41:54,482] VoteFunc parseRes is false
[ERROR | 2017-12-07 23:41:54,487] VoteFunc parseRes is false
[ERROR | 2017-12-07 23:41:54,490] VoteFunc parseRes is false
[ERROR | 2017-12-07 23:41:54,493] VoteFunc parseRes is false
[ERROR | 2017-12-07 23:41:54,496] VoteFunc parseRes is false
[ERROR | 2017-12-07 23:41:54,500] VoteFunc parseRes is false
[ERROR | 2017-12-07 23:41:54,505] VoteFunc parseRes is false
[ERROR | 2017-12-07 23:41:54,507] VoteFunc parseRes is false
