[ERROR | 2017-12-08 00:12:30,434] bind 127.0.0.1 11111
[ERROR | 2017-12-08 00:12:34,078] bind 127.0.0.1 11111
[ERROR | 2017-12-08 18:13:45,918] bind 127.0.0.1 11111
[ERROR | 2017-12-08 20:36:25,656] VoteRcve len < 0
[ERROR | 2017-12-08 20:36:25,657] VoteRcve len < 0
[ERROR | 2017-12-08 20:36:25,659] VoteRcve len < 0
[ERROR | 2017-12-08 20:36:25,670] VoteRcve len < 0
[ERROR | 2017-12-08 20:36:25,813] VoteRcve len < 0
[ERROR | 2017-12-08 20:36:25,814] VoteRcve len < 0
[ERROR | 2017-12-08 20:36:25,817] VoteRcve len < 0
[ERROR | 2017-12-08 20:36:25,818] VoteRcve len < 0
[ERROR | 2017-12-08 20:36:26,162] VoteRcve len < 0
[ERROR | 2017-12-08 20:36:26,165] VoteRcve len < 0
[ERROR | 2017-12-08 20:36:26,168] VoteRcve len < 0
[ERROR | 2017-12-08 20:36:26,171] VoteRcve len < 0
[ERROR | 2017-12-08 20:36:26,174] VoteRcve len < 0
[ERROR | 2017-12-08 20:36:26,176] VoteRcve len < 0
[ERROR | 2017-12-08 20:36:26,183] VoteRcve len < 0
[ERROR | 2017-12-08 20:36:28,178] VoteRcve len < 0
[ERROR | 2017-12-08 20:36:28,180] VoteRcve len < 0
[ERROR | 2017-12-08 20:36:28,182] VoteRcve len < 0
[ERROR | 2017-12-08 20:36:28,184] VoteRcve len < 0
[ERROR | 2017-12-08 20:36:30,181] VoteRcve len < 0
[ERROR | 2017-12-08 20:36:30,183] VoteRcve len < 0
[ERROR | 2017-12-08 20:36:30,184] VoteRcve len < 0
[ERROR | 2017-12-08 20:36:30,186] VoteRcve len < 0
[ERROR | 2017-12-08 21:09:43,035] epoll socket = -1
