[ERROR | 2017-12-30 18:51:49,011] Read sockfd had close fd=19
[ERROR | 2017-12-30 18:52:06,685] Read sockfd had close fd=12
[ERROR | 2017-12-30 18:53:00,314] epoll socket = -1
[ERROR | 2017-12-30 18:56:24,831] Read sockfd had close fd=12
[ERROR | 2017-12-30 18:56:24,867] Read sockfd had close fd=19
[ERROR | 2017-12-30 19:06:43,039] Read sockfd had close fd=12
[ERROR | 2017-12-30 19:06:43,082] Read sockfd had close fd=19
[ERROR | 2017-12-30 19:12:17,195] Read sockfd had close fd=12
[ERROR | 2017-12-30 19:12:17,232] Read sockfd had close fd=19
[ERROR | 2017-12-30 19:20:40,194] Read sockfd had close fd=12
[ERROR | 2017-12-30 19:20:40,229] Read sockfd had close fd=19
[ERROR | 2017-12-30 19:30:00,468] Read sockfd had close fd=12
[ERROR | 2017-12-30 19:30:00,486] Read sockfd had close fd=19
[ERROR | 2017-12-30 19:33:23,468] Read sockfd had close fd=12
[ERROR | 2017-12-30 19:33:24,016] Read sockfd had close fd=17
[ERROR | 2017-12-30 19:40:53,039] Read sockfd had close fd=12
[ERROR | 2017-12-30 19:40:53,148] Read sockfd had close fd=17
[ERROR | 2017-12-30 19:45:08,273] Read sockfd had close fd=12
[ERROR | 2017-12-30 19:45:08,657] Read sockfd had close fd=17
[ERROR | 2017-12-30 19:54:19,081] Read sockfd had close fd=12
[ERROR | 2017-12-30 19:54:19,115] Read sockfd had close fd=17
[ERROR | 2017-12-30 20:03:46,177] Read sockfd had close fd=12
[ERROR | 2017-12-30 20:03:46,185] Read sockfd had close fd=17
[ERROR | 2017-12-30 20:19:09,387] Read sockfd had close fd=12
[ERROR | 2017-12-30 20:19:09,427] Read sockfd had close fd=17
