[INFO | 2017-12-08 00:06:30,999] 127.0.0.1 9000 变为Leader
[INFO | 2017-12-08 00:09:18,978] 127.0.0.1 9000 变为Leader
[INFO | 2017-12-08 00:13:14,688] 127.0.0.1 9000 变为Leader
[INFO | 2017-12-08 00:13:14,694] 127.0.0.1 9000 become a Leader, I am a follower
[INFO | 2017-12-08 00:15:07,684] 127.0.0.1 9001 变为Leader
[INFO | 2017-12-08 18:15:13,429] 127.0.0.1 9001 变为Leader
[INFO | 2017-12-08 18:15:13,433] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-08 18:15:25,592] 127.0.0.1 9002a node survived
[INFO | 2017-12-08 18:15:25,593] 127.0.0.1 9002a node survived
[INFO | 2017-12-08 18:15:25,855]  become a Leader, I am a follower
[INFO | 2017-12-08 18:15:25,856] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-08 18:15:59,141] kill all the clild now
[INFO | 2017-12-08 18:15:59,395] child close 0
[INFO | 2017-12-08 18:16:05,526] 127.0.0.1 9002a node survived
[INFO | 2017-12-08 18:16:05,527] 127.0.0.1 9002a node survived
[INFO | 2017-12-08 18:16:05,534] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-08 18:16:05,546]  become a Leader, I am a follower
[INFO | 2017-12-08 18:16:07,585] 127.0.0.1 9002a node survived
[INFO | 2017-12-08 18:16:07,588] 127.0.0.1 9002a node survived
[INFO | 2017-12-08 18:16:07,598] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-08 18:16:07,676]  become a Leader, I am a follower
[INFO | 2017-12-08 18:16:09,681] 127.0.0.1 9002a node survived
[INFO | 2017-12-08 18:16:09,681] 127.0.0.1 9002a node survived
[INFO | 2017-12-08 18:16:09,683] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-08 18:16:09,690]  become a Leader, I am a follower
[INFO | 2017-12-08 18:16:11,694] 127.0.0.1 9002a node survived
[INFO | 2017-12-08 18:16:11,694] 127.0.0.1 9002a node survived
[INFO | 2017-12-08 18:16:11,700]  become a Leader, I am a follower
[INFO | 2017-12-08 18:16:11,701] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-08 18:16:36,716] kill all the clild now
[INFO | 2017-12-08 18:16:37,302] child close 0
[INFO | 2017-12-08 18:16:37,343] kill all the clild now
[INFO | 2017-12-08 18:16:37,843] kill all the clild now
[INFO | 2017-12-08 18:16:38,000] child close 0
[INFO | 2017-12-08 18:17:11,531] child close 0
[INFO | 2017-12-08 18:25:20,071] become a Leader
[INFO | 2017-12-08 18:25:20,072] 127.0.0.1 9000 become a Leader, I am a follower
[INFO | 2017-12-08 18:25:28,762] 127.0.0.1 9002a node survived
[INFO | 2017-12-08 18:25:28,790] 127.0.0.1 9000 become a Leader, I am a follower
[INFO | 2017-12-08 18:25:44,613] kill all the clild now
[INFO | 2017-12-08 18:25:44,766] child close 0
