[INFO | 2017-12-23 12:13:19,952] kill all the clild now
[INFO | 2017-12-23 12:13:19,961] child close 0
[INFO | 2017-12-23 12:14:10,666] localhost 9001not vote for localhost 9001
[INFO | 2017-12-23 12:14:11,023] localhost 9001 become a Leader, I am a follower
[INFO | 2017-12-23 12:14:11,024] become a Leader
[INFO | 2017-12-23 12:14:23,193] 客服端正常退出 fd=16
[INFO | 2017-12-23 12:15:36,247] kill all the clild now
[INFO | 2017-12-23 12:15:36,933] kill all the clild now
[INFO | 2017-12-23 12:15:37,288] child close 0
[INFO | 2017-12-23 12:15:37,296] DtbtNginx : localhost 9001 close
[INFO | 2017-12-23 12:15:37,474] 发送失败
[INFO | 2017-12-23 12:15:38,935] kill all the clild now
[INFO | 2017-12-23 12:15:40,250] child close 0
[INFO | 2017-12-23 12:15:46,621] become a Leader
[INFO | 2017-12-23 12:15:46,624] localhost 9001 become a Leader, I am a follower
[INFO | 2017-12-23 12:15:51,486] 客服端正常退出 fd=18
[INFO | 2017-12-23 12:15:51,509] server : 139.199.26.222 11002 close
[INFO | 2017-12-23 12:16:09,720] 客服端正常退出 fd=16
[INFO | 2017-12-23 12:16:09,774] 客服端正常退出 fd=18
[INFO | 2017-12-23 13:53:49,286] kill all the clild now
[INFO | 2017-12-23 13:53:51,762] kill all the clild now
[INFO | 2017-12-23 13:53:53,349] child close 0
[INFO | 2017-12-23 13:53:53,386] DtbtNginx : localhost 9001 close
[INFO | 2017-12-23 13:53:53,622] 发送失败
[INFO | 2017-12-23 13:53:58,393] child close 0
[INFO | 2017-12-23 14:05:01,614] become a Leader
[INFO | 2017-12-23 14:05:01,617] localhost 9001 become a Leader, I am a follower
[INFO | 2017-12-23 14:05:37,197] kill all the clild now
[INFO | 2017-12-23 14:05:37,577] child close 0
[INFO | 2017-12-23 14:05:39,411] localhost 9001 become a Leader, I am a follower
[INFO | 2017-12-23 14:05:39,411] become a Leader
[INFO | 2017-12-23 14:06:13,108] child close 0
[INFO | 2017-12-23 14:06:13,393] DtbtNginx : localhost 9000 close
[INFO | 2017-12-23 14:06:51,143] localhost 9000 is survived
[INFO | 2017-12-23 14:06:51,151] localhost 9001 become a Leader, I am a follower
[INFO | 2017-12-23 14:07:04,307] 客服端正常退出 fd=18
[INFO | 2017-12-23 14:07:04,308] server : 139.199.26.222 11002 close
[INFO | 2017-12-23 14:07:16,334] child close 0
[INFO | 2017-12-23 14:07:16,451] DtbtNginx : localhost 9000 close
[INFO | 2017-12-23 14:08:27,181] kill all the clild now
[INFO | 2017-12-23 14:09:23,624] child close 0
[INFO | 2017-12-23 14:10:05,682] localhost 9001 become a Leader, I am a follower
[INFO | 2017-12-23 14:10:05,683] become a Leader
[INFO | 2017-12-23 14:10:15,704] kill all the clild now
[INFO | 2017-12-23 14:10:17,082] child close 0
[INFO | 2017-12-23 14:10:18,544] DtbtNginx : localhost 9001 close
[INFO | 2017-12-23 14:10:18,880] 发送失败
[INFO | 2017-12-23 14:10:21,591] localhost 9001not vote for localhost 9001
[INFO | 2017-12-23 14:10:21,957] become a Leader
[INFO | 2017-12-23 14:10:21,957] localhost 9001 become a Leader, I am a follower
[INFO | 2017-12-23 14:10:23,369] kill all the clild now
[INFO | 2017-12-23 14:10:23,575] child close 0
[INFO | 2017-12-23 14:10:23,580] DtbtNginx : localhost 9001 close
[INFO | 2017-12-23 14:10:23,849] 发送失败
[INFO | 2017-12-23 14:10:25,133] become a Leader
[INFO | 2017-12-23 14:10:25,138] localhost 9001 become a Leader, I am a follower
[INFO | 2017-12-23 14:10:26,579] kill all the clild now
[INFO | 2017-12-23 14:10:26,794] child close 0
[INFO | 2017-12-23 14:10:26,800] DtbtNginx : localhost 9001 close
[INFO | 2017-12-23 14:10:27,053] 发送失败
[INFO | 2017-12-23 14:10:29,630] become a Leader
[INFO | 2017-12-23 14:10:29,630] localhost 9001 become a Leader, I am a follower
[INFO | 2017-12-23 14:10:36,099] kill all the clild now
[INFO | 2017-12-23 14:10:36,338] child close 0
[INFO | 2017-12-23 14:10:36,356] DtbtNginx : localhost 9001 close
[INFO | 2017-12-23 14:10:36,589] 发送失败
[INFO | 2017-12-23 14:10:39,974] localhost 9001not vote for localhost 9001
[INFO | 2017-12-23 14:10:40,419] become a Leader
[INFO | 2017-12-23 14:10:40,420] localhost 9000 become a Leader, I am a follower
[INFO | 2017-12-23 14:12:07,725] kill all the clild now
[INFO | 2017-12-23 14:12:09,466] kill all the clild now
[INFO | 2017-12-23 14:12:10,670] kill all the clild now
[INFO | 2017-12-23 14:12:56,446] child close 0
[INFO | 2017-12-23 14:12:58,007] DtbtNginx : localhost 9000 close
[INFO | 2017-12-23 14:12:58,237] 发送失败
[INFO | 2017-12-23 14:21:02,304] kill all the clild now
[INFO | 2017-12-23 14:22:06,130] child close 0
[INFO | 2017-12-23 14:24:57,262] become a Leader
[INFO | 2017-12-23 14:24:57,264] localhost 9001 become a Leader, I am a follower
[INFO | 2017-12-23 14:25:45,574] kill all the clild now
[INFO | 2017-12-23 14:25:58,739] kill all the clild now
[INFO | 2017-12-23 14:25:59,086] kill all the clild now
[INFO | 2017-12-23 14:25:59,378] kill all the clild now
[INFO | 2017-12-23 14:25:59,674] kill all the clild now
[INFO | 2017-12-23 14:25:59,907] kill all the clild now
[INFO | 2017-12-23 14:26:00,179] kill all the clild now
[INFO | 2017-12-23 14:26:00,406] kill all the clild now
[INFO | 2017-12-23 14:26:00,659] kill all the clild now
[INFO | 2017-12-23 14:26:00,919] kill all the clild now
