[INFO | 2017-12-30 18:29:29,149] localhost 9001not vote for localhost 9001
[INFO | 2017-12-30 18:29:29,606] become a Leader
[INFO | 2017-12-30 18:29:29,606] localhost 9000 become a Leader, I am a follower
[INFO | 2017-12-30 18:29:43,620] kill all the clild now
[INFO | 2017-12-30 18:29:43,941] child close 0
[INFO | 2017-12-30 18:29:46,499] localhost 9001 is survived
[INFO | 2017-12-30 18:29:46,500] localhost 9000 become a Leader, I am a follower
[INFO | 2017-12-30 18:31:29,980] 客服端异常退出 fd=16
[INFO | 2017-12-30 18:34:12,641] 客服端正常退出 fd=16
[INFO | 2017-12-30 18:34:16,006] 客服端正常退出 fd=16
[INFO | 2017-12-30 18:36:37,953] 客服端正常退出 fd=16
[INFO | 2017-12-30 18:36:41,532] 客服端正常退出 fd=16
[INFO | 2017-12-30 18:51:46,390] kill all the clild now
[INFO | 2017-12-30 18:51:48,489] kill all the clild now
[INFO | 2017-12-30 18:51:49,002] child close 0
[INFO | 2017-12-30 18:51:49,010] DtbtNginx : localhost 9001 close
[INFO | 2017-12-30 18:52:06,760] child close 0
[INFO | 2017-12-30 18:52:51,978] become a Leader
[INFO | 2017-12-30 18:52:51,980] localhost 9000 become a Leader, I am a follower
[INFO | 2017-12-30 18:53:03,812] kill all the clild now
[INFO | 2017-12-30 18:53:04,116] child close 0
[INFO | 2017-12-30 18:53:05,935] localhost 9000 become a Leader, I am a follower
[INFO | 2017-12-30 18:53:05,936] become a Leader
[INFO | 2017-12-30 18:53:43,560] 客服端正常退出 fd=16
[INFO | 2017-12-30 18:53:47,073] 客服端正常退出 fd=16
[INFO | 2017-12-30 18:56:24,648] kill all the clild now
[INFO | 2017-12-30 18:56:24,857] child close 0
[INFO | 2017-12-30 18:56:24,863] DtbtNginx : localhost 9000 close
[INFO | 2017-12-30 18:56:25,133] 发送失败
[INFO | 2017-12-30 18:57:15,698] become a Leader
[INFO | 2017-12-30 18:57:15,699] localhost 9000 become a Leader, I am a follower
[INFO | 2017-12-30 18:57:23,814] 客服端正常退出 fd=16
