[INFO | 2018-01-05 13:06:08,479] become a Leader
[INFO | 2018-01-05 13:06:08,480] localhost 9001 become a Leader, I am a follower
[INFO | 2018-01-05 13:06:43,646] 客服端正常退出 fd=16
[INFO | 2018-01-05 13:08:32,337] 客服端正常退出 fd=20
[INFO | 2018-01-05 13:08:32,340] server : 139.199.26.222 11002 close
[INFO | 2018-01-05 13:08:32,419] 客服端正常退出 fd=16
[INFO | 2018-01-05 13:08:32,911] 客服端正常退出 fd=19
[INFO | 2018-01-05 13:08:32,913] server : 139.199.26.222 11001 close
[INFO | 2018-01-05 13:08:32,917] 客服端正常退出 fd=16
[INFO | 2018-01-05 13:08:40,629] 客服端正常退出 fd=16
[INFO | 2018-01-05 13:09:37,893] 客服端正常退出 fd=20
[INFO | 2018-01-05 13:09:37,898] server : 139.199.26.222 11002 close
[INFO | 2018-01-05 13:10:02,459] 客服端正常退出 fd=21
[INFO | 2018-01-05 13:10:11,746] 客服端正常退出 fd=19
[INFO | 2018-01-05 13:10:11,747] server : 139.199.26.222 11001 close
[INFO | 2018-01-05 13:10:42,729] 客服端正常退出 fd=21
[INFO | 2018-01-05 13:10:42,738] server : 139.199.26.222 11002 close
[INFO | 2018-01-05 13:10:42,744] 客服端正常退出 fd=16
[INFO | 2018-01-05 13:10:42,778] 客服端正常退出 fd=19
[INFO | 2018-01-05 13:10:43,469] 客服端正常退出 fd=20
[INFO | 2018-01-05 13:10:43,481] server : 139.199.26.222 11001 close
[INFO | 2018-01-05 13:11:56,555] 客服端正常退出 fd=21
[INFO | 2018-01-05 13:12:06,824] 客服端正常退出 fd=16
[INFO | 2018-01-05 13:15:54,986] 客服端正常退出 fd=16
[INFO | 2018-01-05 13:16:02,568] 客服端正常退出 fd=19
[INFO | 2018-01-05 13:16:02,570] server : 139.199.26.222 11002 close
[INFO | 2018-01-05 13:17:36,438] kill all the clild now
[INFO | 2018-01-05 13:17:38,229] kill all the clild now
[INFO | 2018-01-05 13:17:38,837] child close 0
[INFO | 2018-01-05 13:17:38,842] DtbtNginx : localhost 9001 close
[INFO | 2018-01-05 13:17:39,031] 发送失败
[INFO | 2018-01-05 13:17:43,515] localhost 9001not vote for localhost 9001
[INFO | 2018-01-05 13:17:44,016] become a Leader
[INFO | 2018-01-05 13:17:44,016] localhost 9001 become a Leader, I am a follower
[INFO | 2018-01-05 13:17:59,008] child close 0
[INFO | 2018-01-05 13:17:59,210] DtbtNginx : localhost 9000 close
[INFO | 2018-01-05 13:18:09,333] localhost 9000 is survived
[INFO | 2018-01-05 13:18:09,335] localhost 9001 become a Leader, I am a follower
[INFO | 2018-01-05 13:18:15,510] 客服端正常退出 fd=19
[INFO | 2018-01-05 13:18:15,515] server : 139.199.26.222 11002 close
[INFO | 2018-01-05 13:18:15,546] 客服端正常退出 fd=16
[INFO | 2018-01-05 13:18:53,390] 客服端正常退出 fd=17
[INFO | 2018-01-05 13:20:33,460] 客服端正常退出 fd=16
[INFO | 2018-01-05 13:21:24,671] 客服端正常退出 fd=18
[INFO | 2018-01-05 13:21:24,673] server : 139.199.26.222 11001 close
[INFO | 2018-01-05 13:23:16,569] 客服端正常退出 fd=16
[INFO | 2018-01-05 13:29:41,860] kill all the clild now
[INFO | 2018-01-05 13:29:42,402] child close 0
[INFO | 2018-01-05 13:29:42,408] DtbtNginx : localhost 9000 close
[INFO | 2018-01-05 13:29:45,844] kill all the clild now
[INFO | 2018-01-05 13:30:02,666] child close 0
[INFO | 2018-01-05 13:30:48,086] localhost 9001not vote for localhost 9001
[INFO | 2018-01-05 13:30:48,475] become a Leader
[INFO | 2018-01-05 13:30:48,478] localhost 9000 become a Leader, I am a follower
[INFO | 2018-01-05 13:31:11,031] 客服端正常退出 fd=16
[INFO | 2018-01-05 13:32:11,812] 客服端正常退出 fd=16
[INFO | 2018-01-05 13:32:27,639] 客服端正常退出 fd=16
[INFO | 2018-01-05 13:32:35,349] 客服端正常退出 fd=16
[INFO | 2018-01-05 13:34:27,756] 客服端正常退出 fd=16
[INFO | 2018-01-05 14:23:33,271] kill all the clild now
[INFO | 2018-01-05 14:23:35,477] kill all the clild now
[INFO | 2018-01-05 14:23:37,183] child close 0
[INFO | 2018-01-05 14:23:37,196] DtbtNginx : localhost 9001 close
[INFO | 2018-01-05 14:23:41,730] child close 0
[INFO | 2018-01-05 14:24:32,563] localhost 9000not vote for localhost 9000
[INFO | 2018-01-05 14:24:33,033] become a Leader
[INFO | 2018-01-05 14:24:33,033] localhost 9001 become a Leader, I am a follower
[INFO | 2018-01-05 14:24:42,432] 客服端正常退出 fd=16
[INFO | 2018-01-05 14:24:47,107] 客服端正常退出 fd=16
[INFO | 2018-01-05 14:24:50,546] 客服端正常退出 fd=16
[INFO | 2018-01-05 14:24:50,624] 客服端正常退出 fd=16
[INFO | 2018-01-05 14:24:54,378] 客服端正常退出 fd=16
[INFO | 2018-01-05 14:24:54,505] 发送失败
[INFO | 2018-01-05 14:24:54,513] 发送失败
[INFO | 2018-01-05 14:25:16,343] 客服端正常退出 fd=22
[INFO | 2018-01-05 14:25:27,959] 客服端正常退出 fd=23
[INFO | 2018-01-05 14:25:28,239] 客服端正常退出 fd=22
[INFO | 2018-01-05 14:25:28,470] 客服端正常退出 fd=22
[INFO | 2018-01-05 14:26:00,039] 客服端正常退出 fd=23
[INFO | 2018-01-05 14:26:00,046] 发送失败
[INFO | 2018-01-05 14:26:11,396] 发送失败
[INFO | 2018-01-05 14:26:31,044] 客服端正常退出 fd=26
[INFO | 2018-01-05 14:26:42,788] 客服端正常退出 fd=26
[INFO | 2018-01-05 14:26:43,248] 发送失败
[INFO | 2018-01-05 14:26:43,259] 客服端正常退出 fd=26
[INFO | 2018-01-05 14:26:43,337] 客服端正常退出 fd=26
[INFO | 2018-01-05 14:29:01,844] 客服端正常退出 fd=26
[INFO | 2018-01-05 14:29:20,306] 客服端正常退出 fd=26
[INFO | 2018-01-05 14:29:20,467] 客服端正常退出 fd=26
[INFO | 2018-01-05 14:30:00,024] 发送失败
[INFO | 2018-01-05 14:36:42,362] 客服端正常退出 fd=28
[INFO | 2018-01-05 14:54:58,520] kill all the clild now
[INFO | 2018-01-05 14:54:59,254] child close 0
[INFO | 2018-01-05 14:54:59,581] DtbtNginx : localhost 9000 close
[INFO | 2018-01-05 14:54:59,596] kill all the clild now
[INFO | 2018-01-05 14:55:13,725] child close 0
[INFO | 2018-01-05 14:57:29,684] become a Leader
[INFO | 2018-01-05 14:57:29,686] localhost 9001 become a Leader, I am a follower
[INFO | 2018-01-05 14:57:43,407] 客服端正常退出 fd=16
[INFO | 2018-01-05 14:57:44,244] 客服端正常退出 fd=19
[INFO | 2018-01-05 15:01:39,123] kill all the clild now
[INFO | 2018-01-05 15:01:40,532] kill all the clild now
[INFO | 2018-01-05 15:01:41,043] child close 0
[INFO | 2018-01-05 15:01:41,057] DtbtNginx : localhost 9001 close
[INFO | 2018-01-05 15:01:41,342] 发送失败
[INFO | 2018-01-05 15:01:43,858] child close 0
[INFO | 2018-01-05 15:02:57,242] localhost 9001not vote for localhost 9001
[INFO | 2018-01-05 15:02:57,611] become a Leader
[INFO | 2018-01-05 15:02:57,612] localhost 9000 become a Leader, I am a follower
[INFO | 2018-01-05 15:03:05,526] 客服端正常退出 fd=16
[INFO | 2018-01-05 15:03:14,563] 发送失败
[INFO | 2018-01-05 15:03:14,569] 发送失败
[INFO | 2018-01-05 15:03:26,056] 客服端正常退出 fd=22
[INFO | 2018-01-05 15:03:41,086] 客服端正常退出 fd=22
[INFO | 2018-01-05 15:03:41,253] 客服端正常退出 fd=22
[INFO | 2018-01-05 15:03:41,998] 客服端正常退出 fd=23
[INFO | 2018-01-05 15:05:56,951] 客服端正常退出 fd=22
[INFO | 2018-01-05 15:09:01,108] kill all the clild now
[INFO | 2018-01-05 15:09:02,555] kill all the clild now
[INFO | 2018-01-05 15:09:03,007] child close 0
[INFO | 2018-01-05 15:09:03,012] DtbtNginx : localhost 9001 close
[INFO | 2018-01-05 15:09:05,620] child close 0
[INFO | 2018-01-05 15:09:56,376] localhost 9001not vote for localhost 9001
[INFO | 2018-01-05 15:09:56,843] localhost 9001 become a Leader, I am a follower
[INFO | 2018-01-05 15:09:56,847] become a Leader
[INFO | 2018-01-05 15:10:04,618] 客服端正常退出 fd=16
[INFO | 2018-01-05 15:11:41,140] 发送失败
[INFO | 2018-01-05 15:11:41,141] 客服端正常退出 fd=19
[INFO | 2018-01-05 15:11:55,079] 客服端正常退出 fd=19
[INFO | 2018-01-05 15:11:58,064] 发送失败
[INFO | 2018-01-05 15:11:58,108] 发送失败
[INFO | 2018-01-05 15:12:18,368] 客服端正常退出 fd=22
[INFO | 2018-01-05 15:12:18,533] 客服端正常退出 fd=22
[INFO | 2018-01-05 15:12:21,587] 客服端正常退出 fd=25
[INFO | 2018-01-05 15:12:38,638] 发送失败
[INFO | 2018-01-05 15:12:48,719] 客服端正常退出 fd=27
[INFO | 2018-01-05 15:12:49,076] 发送失败
[INFO | 2018-01-05 15:12:49,078] 客服端正常退出 fd=27
[INFO | 2018-01-05 15:12:49,743] 客服端正常退出 fd=29
[INFO | 2018-01-05 15:17:58,149] kill all the clild now
[INFO | 2018-01-05 15:17:59,293] kill all the clild now
[INFO | 2018-01-05 15:17:59,995] child close 0
[INFO | 2018-01-05 15:18:00,006] DtbtNginx : localhost 9001 close
[INFO | 2018-01-05 15:18:00,394] 发送失败
[INFO | 2018-01-05 15:18:04,078] child close 0
[INFO | 2018-01-05 18:04:32,719] localhost 9001not vote for localhost 9001
[INFO | 2018-01-05 18:04:33,153] become a Leader
[INFO | 2018-01-05 18:04:33,154] localhost 9001 become a Leader, I am a follower
[INFO | 2018-01-05 18:05:00,059] 客服端正常退出 fd=16
[INFO | 2018-01-05 18:05:22,076] 客服端正常退出 fd=16
[INFO | 2018-01-05 18:05:25,072] 发送失败
[INFO | 2018-01-05 18:05:25,083] 发送失败
[INFO | 2018-01-05 18:05:26,225] 客服端正常退出 fd=21
[INFO | 2018-01-05 18:07:34,970] 客服端正常退出 fd=21
[INFO | 2018-01-05 18:11:43,958] 客服端正常退出 fd=24
[INFO | 2018-01-05 18:15:52,405] kill all the clild now
[INFO | 2018-01-05 18:15:53,669] kill all the clild now
[INFO | 2018-01-05 18:15:54,232] child close 0
[INFO | 2018-01-05 18:15:54,240] DtbtNginx : localhost 9001 close
[INFO | 2018-01-05 18:15:54,508] 发送失败
[INFO | 2018-01-05 18:16:05,326] child close 0
[INFO | 2018-01-05 18:16:58,285] localhost 9000not vote for localhost 9000
[INFO | 2018-01-05 18:16:58,620] become a Leader
[INFO | 2018-01-05 18:16:58,620] localhost 9001 become a Leader, I am a follower
[INFO | 2018-01-05 18:17:13,018] 客服端正常退出 fd=16
[INFO | 2018-01-05 18:17:13,901] 客服端正常退出 fd=19
[INFO | 2018-01-05 18:17:24,232] 发送失败
[INFO | 2018-01-05 18:17:24,380] 客服端正常退出 fd=21
[INFO | 2018-01-05 18:17:27,364] 发送失败
[INFO | 2018-01-05 18:17:27,370] 客服端正常退出 fd=21
[INFO | 2018-01-05 18:17:32,295] 客服端正常退出 fd=22
[INFO | 2018-01-05 18:17:35,995] 客服端正常退出 fd=21
[INFO | 2018-01-05 18:17:36,334] 客服端正常退出 fd=21
[INFO | 2018-01-05 18:17:36,835] 客服端正常退出 fd=22
[INFO | 2018-01-05 18:17:57,464] 发送失败
[INFO | 2018-01-05 18:18:04,952] 客服端正常退出 fd=25
[INFO | 2018-01-05 18:18:05,451] 客服端正常退出 fd=25
[INFO | 2018-01-05 18:18:08,758] 客服端正常退出 fd=26
[INFO | 2018-01-05 18:18:23,131] 发送失败
[INFO | 2018-01-05 18:19:43,125] 客服端正常退出 fd=28
[INFO | 2018-01-05 18:19:43,490] 客服端正常退出 fd=28
[INFO | 2018-01-05 18:19:50,168] 客服端正常退出 fd=29
[INFO | 2018-01-05 18:19:50,169] 客服端正常退出 fd=28
[INFO | 2018-01-05 18:20:17,855] 客服端正常退出 fd=28
[INFO | 2018-01-05 18:20:21,123] 发送失败
[INFO | 2018-01-05 18:20:21,127] 发送失败
[INFO | 2018-01-05 18:20:27,259] 客服端正常退出 fd=29
[INFO | 2018-01-05 18:20:27,456] 客服端正常退出 fd=29
[INFO | 2018-01-05 18:20:27,846] 客服端正常退出 fd=32
[INFO | 2018-01-05 18:20:31,245] 发送失败
[INFO | 2018-01-05 18:21:25,572] 客服端正常退出 fd=34
[INFO | 2018-01-05 18:21:25,887] 客服端正常退出 fd=34
[INFO | 2018-01-05 18:21:32,595] 客服端正常退出 fd=35
[INFO | 2018-01-05 18:21:32,605] 发送失败
[INFO | 2018-01-05 18:21:32,757] 客服端正常退出 fd=37
[INFO | 2018-01-05 18:21:36,039] 客服端正常退出 fd=38
[INFO | 2018-01-05 18:21:36,046] 发送失败
[INFO | 2018-01-05 18:21:40,937] 客服端正常退出 fd=40
[INFO | 2018-01-05 18:21:47,170] 发送失败
[INFO | 2018-01-05 18:21:47,172] 客服端正常退出 fd=41
[INFO | 2018-01-05 18:21:47,329] 客服端正常退出 fd=41
[INFO | 2018-01-05 18:21:50,357] 发送失败
[INFO | 2018-01-05 18:21:50,361] 发送失败
[INFO | 2018-01-05 18:22:26,526] 客服端正常退出 fd=44
[INFO | 2018-01-05 18:22:26,692] 客服端正常退出 fd=44
[INFO | 2018-01-05 18:22:29,939] 发送失败
[INFO | 2018-01-05 18:22:29,949] 发送失败
[INFO | 2018-01-05 18:25:26,260] 客服端正常退出 fd=47
[INFO | 2018-01-05 18:25:47,457] 客服端正常退出 fd=47
[INFO | 2018-01-05 18:25:50,536] 发送失败
[INFO | 2018-01-05 18:26:11,568] 客服端正常退出 fd=50
[INFO | 2018-01-05 18:26:11,747] 客服端正常退出 fd=50
[INFO | 2018-01-05 18:26:12,293] 客服端正常退出 fd=50
[INFO | 2018-01-05 18:26:15,507] 客服端正常退出 fd=53
[INFO | 2018-01-05 18:26:20,550] 发送失败
[INFO | 2018-01-05 18:26:20,736] 客服端正常退出 fd=55
[INFO | 2018-01-05 18:26:21,849] 客服端正常退出 fd=56
[INFO | 2018-01-05 18:26:23,837] 发送失败
[INFO | 2018-01-05 18:26:54,638] 客服端正常退出 fd=56
[INFO | 2018-01-05 18:26:54,823] 客服端正常退出 fd=56
[INFO | 2018-01-05 18:26:55,351] 发送失败
[INFO | 2018-01-05 18:26:55,361] 客服端正常退出 fd=56
[INFO | 2018-01-05 18:26:56,093] 客服端正常退出 fd=56
[INFO | 2018-01-05 18:27:15,414] 客服端正常退出 fd=56
[INFO | 2018-01-05 18:27:15,845] 客服端正常退出 fd=56
[INFO | 2018-01-05 18:27:18,926] 发送失败
[INFO | 2018-01-05 18:27:18,933] 发送失败
[INFO | 2018-01-05 18:28:03,888] 客服端正常退出 fd=60
[INFO | 2018-01-05 18:28:04,088] 客服端正常退出 fd=60
[INFO | 2018-01-05 18:31:49,571] 客服端正常退出 fd=63
[INFO | 2018-01-05 18:31:49,579] 发送失败
[INFO | 2018-01-05 18:31:49,753] 客服端正常退出 fd=65
[INFO | 2018-01-05 18:31:53,107] 发送失败
[INFO | 2018-01-05 18:31:53,112] 发送失败
[INFO | 2018-01-05 18:31:59,028] 客服端正常退出 fd=66
[INFO | 2018-01-05 18:33:25,728] 客服端正常退出 fd=66
[INFO | 2018-01-05 18:33:26,950] 客服端正常退出 fd=70
[INFO | 2018-01-05 18:33:29,135] 发送失败
[INFO | 2018-01-05 18:33:33,941] 客服端正常退出 fd=72
[INFO | 2018-01-05 18:33:38,922] 发送失败
[INFO | 2018-01-05 18:33:38,923] 客服端正常退出 fd=73
[INFO | 2018-01-05 18:33:39,111] 客服端正常退出 fd=73
[INFO | 2018-01-05 18:33:42,195] 客服端正常退出 fd=73
[INFO | 2018-01-05 18:33:49,409] 客服端正常退出 fd=76
[INFO | 2018-01-05 18:33:49,599] 客服端正常退出 fd=73
[INFO | 2018-01-05 18:33:51,049] 客服端正常退出 fd=76
[INFO | 2018-01-05 18:33:53,057] 发送失败
[INFO | 2018-01-05 18:33:53,060] 发送失败
[INFO | 2018-01-05 18:37:29,357] kill all the clild now
[INFO | 2018-01-05 18:37:30,087] child close 0
[INFO | 2018-01-05 18:37:30,336] DtbtNginx : localhost 9000 close
[INFO | 2018-01-05 18:37:30,753] kill all the clild now
[INFO | 2018-01-05 18:37:35,461] child close 0
[INFO | 2018-01-05 18:42:27,534] become a Leader
[INFO | 2018-01-05 18:42:27,539] localhost 9000 become a Leader, I am a follower
[INFO | 2018-01-05 18:42:35,000] 客服端正常退出 fd=16
[INFO | 2018-01-05 18:42:42,873] 客服端正常退出 fd=19
[INFO | 2018-01-05 18:42:42,885] 发送失败 sockfd=16
[INFO | 2018-01-05 18:42:43,033] 客服端正常退出 fd=21
[INFO | 2018-01-05 18:42:46,142] 发送失败 sockfd=21
[INFO | 2018-01-05 18:42:48,537] 客服端正常退出 fd=22
[INFO | 2018-01-05 18:42:48,807] 客服端正常退出 fd=22
