[WARNING | 2017-12-08 00:06:26,759] Not Connected:127.0.0.1:9001
[WARNING | 2017-12-08 00:06:26,761] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 00:06:30,800] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 00:09:10,479] Not Connected:127.0.0.1:9001
[WARNING | 2017-12-08 00:09:10,480] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 00:09:18,389] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 00:13:08,999] Not Connected:127.0.0.1:9001
[WARNING | 2017-12-08 00:13:09,001] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 00:13:14,466] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 00:14:44,163] Not Connected:127.0.0.1:9001
[WARNING | 2017-12-08 00:14:44,164] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 00:14:48,084] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 18:15:07,474] Not Connected:127.0.0.1:9001
[WARNING | 2017-12-08 18:15:07,493] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 18:15:11,411] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 18:25:14,796] Not Connected:127.0.0.1:9001
[WARNING | 2017-12-08 18:25:14,799] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 18:25:19,859] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 18:31:33,679] Not Connected:127.0.0.1:9001
[WARNING | 2017-12-08 18:31:33,682] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 18:31:39,722] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 18:49:32,879] Not Connected:127.0.0.1:9001
[WARNING | 2017-12-08 18:49:32,882] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 18:49:38,190] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 19:01:45,754] Not Connected:127.0.0.1:9001
[WARNING | 2017-12-08 19:01:45,756] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 19:01:52,835] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 19:06:39,848] Not Connected:127.0.0.1:9001
[WARNING | 2017-12-08 19:06:39,850] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 19:06:46,633] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 19:23:57,451] Not Connected:127.0.0.1:9001
[WARNING | 2017-12-08 19:23:57,453] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 19:24:05,182] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 19:27:13,134] Not Connected:127.0.0.1:9001
[WARNING | 2017-12-08 19:27:13,135] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 19:27:19,947] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 19:48:02,527] Not Connected:127.0.0.1:9001
[WARNING | 2017-12-08 19:48:02,530] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 19:48:06,380] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 20:03:14,160] Not Connected:127.0.0.1:9001
[WARNING | 2017-12-08 20:03:14,163] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 20:03:16,531] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 20:03:47,934] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 20:04:13,595] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 20:05:02,056] Not Connected:127.0.0.1:9000
[WARNING | 2017-12-08 20:07:54,870] Not Connected:127.0.0.1:9001
[WARNING | 2017-12-08 20:07:54,872] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 20:07:57,918] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 20:19:55,437] Not Connected:127.0.0.1:9001
[WARNING | 2017-12-08 20:19:55,439] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 20:19:57,609] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 20:36:21,526] Not Connected:127.0.0.1:9001
[WARNING | 2017-12-08 20:36:21,528] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 20:36:25,651] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 21:01:05,618] Not Connected:127.0.0.1:9001
[WARNING | 2017-12-08 21:01:05,623] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 21:01:09,333] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 21:01:25,035] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 21:01:56,861] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 21:02:37,548] Not Connected:127.0.0.1:9000
[WARNING | 2017-12-08 21:07:02,262] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 21:07:09,020] Not Connected:127.0.0.1:9001
[WARNING | 2017-12-08 21:07:09,021] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 21:07:11,563] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 21:09:25,749] Not Connected:127.0.0.1:9001
[WARNING | 2017-12-08 21:09:25,750] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 21:09:28,418] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 21:10:40,929] Not Connected:127.0.0.1:9001
[WARNING | 2017-12-08 21:10:40,931] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-08 21:10:43,226] Not Connected:127.0.0.1:9002
