[WARNING | 2017-12-23 12:13:19,393] Not Connected:localhost:9000
[WARNING | 2017-12-23 12:13:19,394] Not Connected:localhost:9001
[WARNING | 2017-12-23 12:13:19,396] Not Connected:localhost:9002
[WARNING | 2017-12-23 12:14:07,457] Not Connected:localhost:9001
[WARNING | 2017-12-23 12:14:07,459] Not Connected:localhost:9002
[WARNING | 2017-12-23 12:14:10,663] Not Connected:localhost:9002
[WARNING | 2017-12-23 12:14:23,166] WriteHttpResponse open html/favicon.ico error
[WARNING | 2017-12-23 12:15:43,958] Not Connected:localhost:9001
[WARNING | 2017-12-23 12:15:43,959] Not Connected:localhost:9002
[WARNING | 2017-12-23 12:15:46,611] Not Connected:localhost:9002
[WARNING | 2017-12-23 12:15:52,332] 找不到client serfd=17
[WARNING | 2017-12-23 12:15:52,338] 找不到client serfd=17
[WARNING | 2017-12-23 12:15:52,368] 找不到client serfd=17
[WARNING | 2017-12-23 12:15:52,417] 找不到client serfd=17
[WARNING | 2017-12-23 12:15:52,441] 找不到client serfd=17
[WARNING | 2017-12-23 12:15:52,460] 找不到client serfd=17
[WARNING | 2017-12-23 12:15:52,496] 找不到client serfd=17
[WARNING | 2017-12-23 12:15:52,501] 找不到client serfd=17
[WARNING | 2017-12-23 12:15:52,510] 找不到client serfd=17
[WARNING | 2017-12-23 12:15:52,516] 找不到client serfd=17
[WARNING | 2017-12-23 12:15:52,524] 找不到client serfd=17
[WARNING | 2017-12-23 12:15:52,543] 找不到client serfd=17
[WARNING | 2017-12-23 12:15:52,550] 找不到client serfd=17
[WARNING | 2017-12-23 12:15:52,555] 找不到client serfd=17
[WARNING | 2017-12-23 12:15:53,125] 找不到client serfd=17
[WARNING | 2017-12-23 12:15:53,219] 找不到client serfd=17
[WARNING | 2017-12-23 12:15:53,274] 找不到client serfd=17
[WARNING | 2017-12-23 12:15:53,276] 找不到client serfd=17
[WARNING | 2017-12-23 12:15:53,312] 找不到client serfd=17
[WARNING | 2017-12-23 12:15:53,315] 找不到client serfd=17
[WARNING | 2017-12-23 12:15:53,327] 找不到client serfd=17
[WARNING | 2017-12-23 12:15:53,364] 找不到client serfd=17
[WARNING | 2017-12-23 12:15:53,374] 找不到client serfd=17
[WARNING | 2017-12-23 12:15:53,378] 找不到client serfd=17
[WARNING | 2017-12-23 12:15:53,457] 找不到client serfd=17
[WARNING | 2017-12-23 12:15:53,466] 找不到client serfd=17
[WARNING | 2017-12-23 12:15:53,475] 找不到client serfd=17
[WARNING | 2017-12-23 12:15:53,539] 找不到client serfd=17
[WARNING | 2017-12-23 12:25:57,178] 找不到client serfd=17
[WARNING | 2017-12-23 14:04:55,429] Not Connected:localhost:9001
[WARNING | 2017-12-23 14:04:55,431] Not Connected:localhost:9002
[WARNING | 2017-12-23 14:05:01,603] Not Connected:localhost:9002
[WARNING | 2017-12-23 14:05:39,376] Not Connected:localhost:9002
[WARNING | 2017-12-23 14:06:05,429] 发生节点迁移：192.168.56.1 42351->139.199.26.222 11002 change to ->139.199.26.222 11001
[WARNING | 2017-12-23 14:06:51,136] Not Connected:localhost:9002
[WARNING | 2017-12-23 14:10:00,971] Not Connected:localhost:9001
[WARNING | 2017-12-23 14:10:00,979] Not Connected:localhost:9002
[WARNING | 2017-12-23 14:10:05,664] Not Connected:localhost:9002
[WARNING | 2017-12-23 14:10:21,574] Not Connected:localhost:9002
[WARNING | 2017-12-23 14:10:25,123] Not Connected:localhost:9002
[WARNING | 2017-12-23 14:10:29,623] Not Connected:localhost:9002
[WARNING | 2017-12-23 14:10:39,972] Not Connected:localhost:9002
[WARNING | 2017-12-23 14:10:50,546] 发生节点迁移：192.168.56.1 42660->139.199.26.222 11001 change to ->139.199.26.222 11002
